Date,Open,High,Low,Close,Volume(BTC),Volume(Currency),Weighted Price
2018-09-15 00:00:00,6476.51,6506,6470,6484.64,96,623633.72,6495.93
2018-09-15 00:30:00,6489.11,6494.49,6474.49,6487.35,51.53,334003.48,6481.18
2018-09-15 01:00:00,6486.99,6507.91,6484.92,6494.25,21.49,139663.41,6498.44
2018-09-15 01:30:00,6494.31,6520.88,6494.26,6516.52,21.2,138022.36,6509.78
2018-09-15 02:00:00,6516.52,6525.53,6503.04,6506.34,4.93,32118.26,6517.16
2018-09-15 02:30:00,6508.77,6514.9,6500,6504.67,4.38,28542.01,6509.52
2018-09-15 03:00:00,6504.81,6509.99,6489.17,6489.82,4.62,30060.93,6500.77
2018-09-15 03:30:00,6484.4,6501.28,6482.02,6501.28,8.31,53917.87,6491.37
2018-09-15 04:00:00,6495,6500.33,6489.18,6494.62,3.79,24615.99,6494.54
2018-09-15 04:30:00,6494.62,6524.66,6488.25,6513.92,59.48,386834.86,6503.99
2018-09-15 05:00:00,6512.49,6512.91,6496.89,6498.75,2.22,14425.82,6505.91
2018-09-15 05:30:00,6499.36,6499.37,6488,6494.99,21.08,136883.85,6493.27
2018-09-15 06:00:00,6490.87,6495,6466.74,6487,28.56,185133.04,6482.28
2018-09-15 06:30:00,6482.35,6494.46,6479.87,6486.99,12.14,78710.59,6484.24
2018-09-15 07:00:00,6485.47,6500,6485.47,6500,20.92,135914.03,6496.16
2018-09-15 07:30:00,6500.99,6508.2,6496,6500,8.97,58329.09,6501.32
2018-09-15 08:00:00,6499.98,6524.47,6495.5,6516.18,29.93,194967.94,6514.1
2018-09-15 08:30:00,6516.5,6534.99,6510.39,6515.36,26.42,172424.02,6527.47
2018-09-15 09:00:00,6516.82,6530,6515.56,6517.98,7.91,51608.15,6522.81
2018-09-15 09:30:00,6517.48,6532.76,6515.79,6532.76,8.79,57369.95,6526.92
2018-09-15 10:00:00,6532.76,6550,6517.18,6521.21,65.55,428321.18,6533.96
2018-09-15 10:30:00,6522.51,6531.59,6515.09,6522.19,6.52,42552.6,6524.81
2018-09-15 11:00:00,6522.19,6527.8,6495.05,6510,47.95,312148.3,6510.51
2018-09-15 11:30:00,6510,6527.06,6510,6524.99,30.67,199915.57,6518.83
2018-09-15 12:00:00,6524.55,6525,6510.58,6524.98,5.73,37367.07,6520.68
2018-09-15 12:30:00,6524.99,6537.98,6515.44,6535.07,25.79,168375.31,6529.21
2018-09-15 13:00:00,6535.07,6560.63,6530.18,6560.63,92.48,605782.55,6550.4
2018-09-15 13:30:00,6560.63,6566.99,6539.74,6541.13,53.71,352314.91,6559.2
2018-09-15 14:00:00,6539.74,6570.1,6539.74,6555,28.88,189415.7,6558.94
2018-09-15 14:30:00,6553.77,6560,6525.52,6540.21,38.77,253832.91,6547.18
2018-09-15 15:00:00,6540.94,6544.99,6525.38,6535.48,16.24,106193.63,6540.01
2018-09-15 15:30:00,6538.64,6539,6515.01,6538.97,36.3,236913.6,6527.29
2018-09-15 16:00:00,6538.99,6550,6530.7,6550,27.08,177207.59,6543.28
2018-09-15 16:30:00,6549.99,6559,6542.75,6550.18,17.94,117533.16,6551.57
2018-09-15 17:00:00,6544.52,6552.4,6532.8,6543.97,2.89,18892.17,6542.14
2018-09-15 17:30:00,6543.97,6558.98,6543.32,6550.99,28.88,189231.45,6551.9
2018-09-15 18:00:00,6550.16,6554.82,6526.85,6546.37,32.26,210848.49,6535.66
2018-09-15 18:30:00,6546.37,6546.38,6505.01,6520.01,39.94,260317.34,6517.5
2018-09-15 19:00:00,6520.01,6534.85,6507.23,6534.27,28.26,184271.07,6520.94
2018-09-15 19:30:00,6534.99,6538.11,6520,6537.41,43.72,285473.52,6529.08
2018-09-15 20:00:00,6533.96,6537.04,6524.77,6529.44,9.95,64958.95,6530.8
2018-09-15 20:30:00,6523.26,6539.99,6522.21,6534.99,28.17,183927.78,6528.96
2018-09-15 21:00:00,6524.06,6538.13,6475,6497.38,130.61,847718.92,6490.46
2018-09-15 21:30:00,6495.8,6510,6486.81,6507.5,9.55,62096.56,6500.53
2018-09-15 22:00:00,6509.08,6520.56,6504.39,6520.56,7.63,49666.63,6512.9
2018-09-15 22:30:00,6519.66,6538.87,6515.51,6522.26,15.31,99953.05,6529.32
2018-09-15 23:00:00,6515.57,6527.21,6509.99,6510,12.9,83981.25,6511.28
2018-09-15 23:30:00,6519.14,6527.21,6514.61,6520.15,2.47,16102.15,6520.17
2018-09-16 00:00:00,6521.49,6522.98,6505.71,6514,24.03,156549.08,6513.61
2018-09-16 00:30:00,6503.11,6515.78,6494.14,6515.78,7.86,51177.72,6508.04
2018-09-16 01:00:00,6515.73,6524.84,6508.99,6513.57,1.85,12052.44,6517.96
2018-09-16 01:30:00,6516.94,6516.94,6485,6488.21,2.33,15152.54,6500.23
2018-09-16 02:00:00,6499.97,6502.05,6475.77,6496.33,4.23,27447.35,6493.2
2018-09-16 02:30:00,6496.34,6503.54,6487.53,6492.48,4.55,29571.07,6498.88
2018-09-16 03:00:00,6492.9,6501.05,6487.28,6496.95,2.16,14055.65,6493.01
2018-09-16 03:30:00,6494.14,6496.35,6476,6484.86,3.12,20234.49,6483.63
2018-09-16 04:00:00,6484.86,6490.26,6349.47,6437.4,328.42,2103944.88,6406.33
2018-09-16 04:30:00,6437.4,6454.39,6420.5,6445.51,21.49,138318.66,6436
2018-09-16 05:00:00,6447.47,6461.42,6446.96,6446.96,16.58,107042.65,6457.14
2018-09-16 05:30:00,6453.99,6474.5,6440.07,6468.77,18.18,117400.53,6457.56
2018-09-16 06:00:00,6474.41,6474.41,6450.79,6458.88,2.61,16868.57,6456.41
2018-09-16 06:30:00,6459.15,6463.29,6455.03,6460,1.44,9290.85,6459.82
2018-09-16 07:00:00,6460,6463.29,6450,6451,13.65,88090.45,6453.95
2018-09-16 07:30:00,6455.01,6458.59,6440,6446.27,63.62,410208.1,6447.41
2018-09-16 08:00:00,6446.27,6470.51,6445.01,6466.02,21.68,139899.51,6453.2
2018-09-16 08:30:00,6466.11,6493.77,6466.11,6480.83,33.8,219201.97,6484.86
2018-09-16 09:00:00,6481.03,6489.99,6470.5,6489.99,22.77,147510.8,6477.3
2018-09-16 09:30:00,6483.21,6496.97,6482.04,6495.6,16.14,104756.46,6492.46
2018-09-16 10:00:00,6488.83,6498.77,6480,6482.74,14.37,93260.98,6489.09
2018-09-16 10:30:00,6483.26,6510,6483.26,6503.52,19.7,128031.18,6499.66
2018-09-16 11:00:00,6504.05,6510,6495.62,6499.88,16.74,108871.43,6501.82
2018-09-16 11:30:00,6499.88,6507.13,6490,6494.81,29.01,188581.39,6499.95
2018-09-16 12:00:00,6503.99,6505.98,6482.11,6494.51,6.01,38979.83,6490.74
2018-09-16 12:30:00,6494.1,6500.63,6482.13,6500.63,11.43,74150.67,6489.05
2018-09-16 13:00:00,6500.62,6510,6488.05,6499.99,10.56,68719.5,6505.28
2018-09-16 13:30:00,6499.99,6500.97,6466,6476.26,60.02,388216.93,6468.01
2018-09-16 14:00:00,6485.05,6485.05,6458.47,6466.67,6.05,39113.47,6466.06
