Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-11-04 00:00:00,6333.59,6335,6310.57,6322.17,86.43,546340.31,6321.31
2018-11-04 01:00:00,6327.02,6334.3,6326.17,6328.83,1.47,9323.62,6327.11
2018-11-04 02:00:00,6330.05,6330.5,6322.55,6325.13,35.44,224207.67,6325.93
2018-11-04 03:00:00,6325.82,6331.97,6325.01,6330.44,50.56,319949.39,6328.06
2018-11-04 04:00:00,6330.44,6332,6326.17,6329.6,27.71,175395.37,6328.96
2018-11-04 05:00:00,6329.6,6331.56,6326.75,6331.55,19.6,124036.86,6329.68
2018-11-04 06:00:00,6331.58,6350,6324.4,6336.11,120.11,761439.43,6339.35
2018-11-04 07:00:00,6336.12,6339.92,6330.85,6330.85,32.66,206957.65,6337.04
2018-11-04 08:00:00,6330.86,6343.28,6330.86,6342.11,37.81,239583.19,6335.77
2018-11-04 09:00:00,6343.25,6343.25,6326.33,6331.33,53.94,341658.51,6333.71
2018-11-04 10:00:00,6330.62,6340.55,6330.41,6340.55,39.71,251602.52,6336.2
2018-11-04 11:00:00,6338.99,6349.98,6329.05,6341.1,45.92,291203.73,6342.07
2018-11-04 12:00:00,6341.1,6345.06,6336.95,6342.6,18.94,120163.65,6342.89
2018-11-04 13:00:00,6342.6,6356.8,6340.88,6349.34,51.69,328109.23,6347.47
2018-11-04 14:00:00,6342.52,6354.66,6340.92,6346.56,45.82,290871.03,6348.17
2018-11-04 15:00:00,6346,6450,6343.1,6434.84,418.87,2680351.75,6399.05
2018-11-04 16:00:00,6430.89,6438.97,6397.3,6400.26,302.72,1943356.95,6419.71
2018-11-04 17:00:00,6401.3,6422,6391.24,6413.53,120.62,772887.88,6407.88
2018-11-04 18:00:00,6414.28,6475,6412.17,6440,659.04,4247038.59,6444.26
2018-11-04 19:00:00,6439.21,6446.94,6410.25,6424.29,182.81,1175403.14,6429.55
2018-11-04 20:00:00,6424.29,6432.06,6407.42,6412.12,59.21,380238,6421.41
2018-11-04 21:00:00,6412.12,6425.16,6412.12,6413.2,64.26,412494.85,6419.07
2018-11-04 22:00:00,6413.2,6418.31,6402.27,6408.28,50.82,325663.93,6408.19
2018-11-04 23:00:00,6408.28,6430.72,6404,6421.76,147.64,948304.23,6423.07
2018-11-05 00:00:00,6428.23,6438.85,6411.97,6438.85,71.21,457587.57,6425.46
2018-11-05 01:00:00,6439.49,6441.43,6409.42,6419.39,104.96,674242.5,6424
2018-11-05 02:00:00,6419.4,6420.65,6410.17,6419.93,30.42,195230.59,6417.24
2018-11-05 03:00:00,6419.93,6421.95,6406.1,6406.1,25.48,163580.88,6419.24
2018-11-05 04:00:00,6402.18,6412.17,6398.68,6405.38,47.6,304893.66,6404.83
2018-11-05 05:00:00,6405.38,6410.54,6397.3,6406.1,79.57,509727.28,6405.89
2018-11-05 06:00:00,6406.09,6415,6406.09,6411.92,69.22,443917.58,6413.13
2018-11-05 07:00:00,6411.92,6412.34,6410.93,6411.96,15.14,97059.84,6411.44
2018-11-05 08:00:00,6411.95,6411.96,6386.21,6389.27,157.03,1004872.41,6399.29
2018-11-05 09:00:00,6389.27,6401.76,6387.58,6396.76,62.98,402887.97,6396.75
