Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-15 00:00:00,6185.04,6203.21,6149.28,6191.78,275.85,1704368.65,6178.59
2018-10-15 01:00:00,6195.26,6213.6,6187.59,6209.72,135.5,840089.56,6199.94
2018-10-15 02:00:00,6205.52,6209.93,6197.01,6200.63,39.37,244189.66,6203.08
2018-10-15 03:00:00,6200.63,6215.12,6200.63,6215.1,43.88,272531.98,6210.44
2018-10-15 04:00:00,6215.1,6220,6206,6209.3,77.69,482840.94,6214.77
2018-10-15 05:00:00,6206.01,6413.2,6198.36,6359.45,1573.74,9924012.23,6306.01
2018-10-15 06:00:00,6359.46,6756,6359.44,6667.26,4962.42,32708359.33,6591.21
2018-10-15 07:00:00,6662.33,6670,6410.17,6410.17,2289.77,14885477.46,6500.85
2018-10-15 08:00:00,6409.46,6469.86,6379,6409.87,1151.11,7394138.39,6423.49
2018-10-15 09:00:00,6415,6439.17,6365.34,6425.79,1223.75,7835102.26,6402.52
2018-10-15 10:00:00,6420.84,6455.74,6400.21,6423.89,399.95,2569839.71,6425.39
2018-10-15 11:00:00,6423.89,6452.19,6390.03,6412.76,451.44,2899157.7,6422.08
2018-10-15 12:00:00,6412.38,6419.84,6381.25,6410,375.93,2407164.77,6403.19
2018-10-15 13:00:00,6410,6416.67,6381.25,6395.54,732.18,4684911.58,6398.57
2018-10-15 14:00:00,6395.55,6405.96,6359.78,6376.98,479.1,3057561.83,6381.89
2018-10-15 15:00:00,6374.88,6404.1,6374.16,6392.59,197.29,1260610,6389.58
2018-10-15 16:00:00,6392.42,6427,6390.32,6417.43,458.37,2939758.45,6413.52
2018-10-15 17:00:00,6415,6424.13,6398,6400.24,406.64,2606239.08,6409.22
2018-10-15 18:00:00,6398.01,6420.6,6379.69,6397.07,278.31,1781952.44,6402.85
2018-10-15 19:00:00,6397.4,6411.79,6387.03,6390,201.17,1287759.34,6401.24
2018-10-15 20:00:00,6389.98,6415.73,6359.56,6391.4,427.32,2725795.34,6378.89
2018-10-15 21:00:00,6388.3,6410.5,6380.1,6393.54,276.8,1770156.3,6394.96
2018-10-15 22:00:00,6388.77,6445.31,6388.77,6426.11,250.7,1611420.67,6427.58
2018-10-15 23:00:00,6425.69,6457.94,6424.13,6441.74,187.6,1207649.52,6437.42
2018-10-16 00:00:00,6438.2,6439.33,6412.95,6429,95.26,611780.58,6422.13
2018-10-16 01:00:00,6432.73,6438.01,6416.41,6425.48,105.93,680774.8,6426.95
2018-10-16 02:00:00,6425.06,6430,6417.78,6429.99,70.68,454194.3,6426.37
2018-10-16 03:00:00,6429.99,6440,6416.53,6420,120.22,772527.64,6425.82
2018-10-16 04:00:00,6424.46,6434,6420,6424.05,113.23,727605.66,6425.78
2018-10-16 05:00:00,6424.05,6490,6422.89,6474.62,371.01,2394338.75,6453.51
2018-10-16 06:00:00,6475,6493.77,6442.29,6452.33,288.33,1865222.47,6468.97
2018-10-16 07:00:00,6449.08,6467.11,6444.37,6448.86,114.39,737987.5,6451.67
2018-10-16 08:00:00,6449.68,6454.09,6413.2,6435.09,377.31,2424770.51,6426.46
2018-10-16 09:00:00,6435.19,6444,6425.53,6430.38,377.33,2427241.92,6432.64
2018-10-16 10:00:00,6430.47,6437.21,6423,6436.52,383.83,2468514.78,6431.24
2018-10-16 11:00:00,6436.34,6454.22,6426.58,6451.54,131.17,844346.59,6437.28
2018-10-16 12:00:00,6451.54,6452.19,6422.26,6437.13,89,573024.78,6438.38
2018-10-16 13:00:00,6436.03,6469.15,6436.03,6449.68,190.27,1227863.14,6453.1
2018-10-16 14:00:00,6444.27,6450.27,6430,6437.18,83.51,537702.1,6438.68
2018-10-16 15:00:00,6437.17,6449.04,6432.51,6437.01,116.57,750588.81,6438.82
2018-10-16 16:00:00,6439,6439.39,6386.4,6419.47,271.52,1741001.61,6412.15
2018-10-16 17:00:00,6420.24,6433.17,6412.36,6430.42,101.01,648864.3,6424.04
2018-10-16 18:00:00,6427.65,6438.82,6424.2,6435,64.48,414728.25,6432.02
2018-10-16 19:00:00,6432.5,6437.79,6415.5,6436.87,313.98,2018508.99,6428.79
2018-10-16 20:00:00,6435.53,6473.74,6435,6455.93,369.06,2379899.98,6448.5
2018-10-16 21:00:00,6456.88,6460.64,6436.73,6457.2,189.43,1221357.94,6447.68
2018-10-16 22:00:00,6460.3,6469.92,6430.94,6450.17,115.8,746647.36,6447.84
2018-10-16 23:00:00,6450.17,6489,6440.82,6461.2,249.77,1615897.86,6469.42
2018-10-17 00:00:00,6457.67,6464.73,6438.67,6457.69,130.42,841441.57,6451.9
2018-10-17 01:00:00,6456.75,6465.39,6444.2,6450.43,138.39,893441.66,6456.06
2018-10-17 02:00:00,6443.36,6449,6432.33,6440.77,75.62,487026.39,6440.46
2018-10-17 03:00:00,6443.02,6454.9,6440.48,6451.24,131.85,849955.04,6446.25
2018-10-17 04:00:00,6452.41,6452.63,6442.8,6450.31,69.37,447365.16,6449.24
2018-10-17 05:00:00,6451.76,6460.54,6440.06,6446.92,192.33,1240427.16,6449.44
2018-10-17 06:00:00,6446.92,6449.1,6436.19,6436.35,43.99,283476.85,6443.61
2018-10-17 07:00:00,6436.35,6444.9,6421.06,6432.3,129.64,834190.68,6434.48
